player__participant__code,letter__player__participant__code,letter__letter,channel,owner_channel,approved,approve_time,timestamp
5,3,X,4,1,True,1502215108,1502215096
7,6,T,3,2,True,1502215102,1502215098
1,3,X,5,1,False,,1502215105
3,1,T,1,5,True,1502215117,1502215114
6,5,T,2,4,True,1502215192,1502215122
3,5,N,1,4,True,1502215197,1502215129
5,6,R,4,2,True,1502215132,1502215129
1,7,L,5,3,True,1502215141,1502215137
5,3,P,4,1,True,1502215146,1502215139
1,7,P,5,3,True,1502215147,1502215144
6,5,N,2,4,True,1502215194,1502215145
7,6,R,3,2,False,,1502215157
3,5,T,1,4,False,,1502215167
7,1,A,3,5,True,1502215177,1502215174
6,7,B,2,3,True,1502215195,1502215192
3,1,S,1,5,True,1502215196,1502215194
1,3,O,5,1,True,1502215204,1502215201
7,1,T,3,5,True,1502215203,1502215202
5,3,O,4,1,True,1502215259,1502215208
1,7,B,5,3,True,1502215235,1502215233
7,1,S,3,5,True,1502215245,1502215243
5,6,T,4,2,True,1502215261,1502215260
3,1,A,1,5,True,1502215269,1502215266
3,5,C,1,4,True,1502215380,1502215270
5,6,M,4,2,True,1502215361,1502215359
7,6,M,3,2,True,1502215366,1502215364